Num,Topic,LCS,SGS,NVS,LCV,SCS,CRS,HRS,Q
67,"Порча имущества при ""уборке"" чердака",2,1,2,0,1,1,1,0.625
68,Ущерб от падения сосульки/элемента фасада,2,2,2,1,2,2,1,0.875
69,Кража из почтового ящика/подъезда из-за неисправности дверей,2,2,2,1,2,2,1,0.875
70,Травма в подъезде из-за аварийного состояния,1,0,2,0,1,0,1,0.375
71,Ущерб от пожара из-за неисправной электропроводки МОП,2,2,2,1,2,2,1,0.875
72,Несанкционированное размещение рекламы на фасаде,2,2,2,2,2,2,1,0.95
73,Порча автомобиля во время уборки территории,2,1,2,0,1,1,1,0.625
74,Нарушение тишины из-за ночных работ по благоустройству,2,1,2,1,1,1,1,0.7
75,Утрата/повреждение имущества при отключении воды (залив соседей),2,2,2,1,2,2,1,0.875
76,Разглашение персональных данных,2,2,2,2,2,2,1,0.95
77,Отказ в предоставлении информации,2,1,2,1,1,1,1,0.7
78,Утрата документов,2,2,2,2,2,2,1,0.95
79,Введение в заблуждение,2,1,2,0,1,1,1,0.625
80,Невыдача документов при продаже,2,1,2,1,1,1,1,0.7
81,Затопление квартиры из-за протечки крыши,2,2,2,2,2,2,1,0.95
82,Травма в подъезде из-за ненадлежащего содержания,2,2,2,1,2,2,1,0.875
83,Порча имущества из-за аварии на общедомовых сетях,2,2,2,2,2,2,1,0.95
84,Нарушение температурного режима,2,2,2,2,2,2,1,0.95
85,Занижение площади для начисления платы,1,1,2,1,1,1,1,0.575
86,Несанкционированное отключение электроснабжения,1,0,2,0,1,0,1,0.375
87,Разрушение фасада и падение элементов,2,1,2,1,1,1,1,0.7
88,Хроническое засорение канализации из-за отсутствия профилактики,1,0,2,0,1,0,1,0.375
89,Пожар из-за неисправности общедомовой электропроводки,2,1,2,2,1,2,1,0.825
90,Невыполнение решения общего собрания,2,1,2,1,1,1,1,0.7
91,Захват мест общего пользования,2,2,2,2,2,2,1,0.95
92,Антисанитария у соседей,2,1,2,1,1,1,1,0.7
93,Шум от коммерческой деятельности,2,0,2,0,1,0,1,0.5
94,Повреждение имущества жильцами при ремонте,2,1,2,1,1,1,1,0.7
95,Незаконная переустройство чердака/подвала,2,1,2,1,1,1,1,0.7
96,Самозахват земельного участка и установка ограждения,2,0,2,0,1,0,1,0.5
97,Систематическое нарушение парковки и порча газона,1,0,2,0,1,0,1,0.375
98,Разведение животных в коммерческих целях,2,0,2,0,1,0,1,0.5
99,Незаконная сдача квартиры в аренду как хостел,2,1,2,1,1,1,1,0.7
100,Размещение рекламных конструкций без согласия собственников,2,1,2,1,1,1,1,0.7
101,Ремонт крыши с привлечением «шабашников»,2,2,2,2,2,2,1,0.95
102,Курение в подъезде и на лестничных площадках,2,0,2,0,1,0,1,0.5
103,Незаконная постройка на крыше (мансарда),2,1,2,1,1,1,1,0.7
104,Затопление помещений общего пользования из-за действий жильца,2,2,2,2,2,2,1,0.95
105,Создание коммунальной аварии из-за неправильного пользования системами,2,2,2,2,2,2,1,0.95
106,Отказ в страховом случае,2,1,2,1,2,1,1,0.75
107,Некачественный ремонт по гарантии,2,2,2,2,2,2,1,0.95
108,Повреждение имущества подрядчиками УК,2,2,2,2,2,2,1,0.95
109,Скрытые дефекты после капитального ремонта,1,0,2,0,1,0,0,0.275
110,Отсутствие договора страхования общего имущества,2,2,2,2,2,2,1,0.95
111,Истечение срока гарантии на скрытые дефекты,2,1,2,1,2,1,1,0.75
112,Субподряд и ответственность,2,2,2,2,2,2,1,0.95
113,Отказ в выплате по франшизе,2,2,2,2,2,2,1,0.95
114,Повреждение общего имущества при ремонте в квартире,2,2,2,2,2,2,1,0.95
115,Незаконное привлечение подрядчиков без лицензии,2,2,2,2,2,2,1,0.95
116,Гарантия на проектные работы,2,1,2,1,2,1,1,0.75
117,Ответственность за простой и упущенную выгоду,1,0,2,0,1,0,0,0.275
118,Конфликт страховых оценок,2,0,2,0,1,1,1,0.55
119,Невыполнение гарантийных обязательств в срок,1,0,2,0,1,0,0,0.275
120,Солидарная ответственность УК и подрядчика,2,1,2,1,2,1,1,0.75
121,Плесень и грибок из-за сырости в подвале,1,0,2,0,1,0,0,0.275
122,Выбросы от котельной,1,0,2,0,1,0,0,0.275
123,Некачественная уборка и распространение инфекции,1,0,2,0,1,0,0,0.275
124,Шум и вибрация от инженерного оборудования (продолжение),1,1,2,0,1,0,1,0.45
125,Загрязнение территории стройматериалами,2,2,2,1,2,2,1,0.875
126,Отравление угарным газом из-за неисправной вентиляции,2,2,2,1,2,2,1,0.875
127,Заражение клещом (демодекоз) в общественном душе фитнес-зоны,1,0,2,0,1,1,1,0.425
128,Авария канализационного коллектора на территории двора,1,1,2,0,1,0,1,0.45
129,Неконтролируемое распространение борщевика Сосновского,1,0,2,0,1,1,1,0.425
130,Повышенный радиационный фон из-за неучтенных строительных материалов,0,0,2,0,1,0,1,0.25
131,Насекомые-вредители (клопы/тараканы) из-за антисанитарии в подвале,1,1,2,0,1,1,1,0.5
132,Химическое загрязнение воздуха от неправильного хранения реагентов,1,1,2,0,1,0,1,0.45
133,Свинцовое загрязнение от старой краски при ремонте фасада,1,0,2,0,1,1,1,0.425
134,Систематическое превышение уровня электромагнитного излучения,1,0,2,0,1,0,1,0.375
135,Заболевания дыхательных путей из-за пыли от сухой уборки подъездов,2,2,2,1,1,2,0,0.725
