Num,Topic,LCS,SGS,NVS,LCV,LCV_Value,SCS,CRS,HRS,HRS_Desc
50,Утрата товарного вида квартиры из-за аварии у соседей,2,Средняя,2,Средняя,0.60,4,Средняя,Нет,
51,Слив химических реагентов с крыши,2,Высокая,2,Высокая,0.75,5,Высокая,Нет,
52,Отключение электричества для всего подъезда из-за долга одного собственника,1,Средняя,2,Низкая,0.50,3,Низкая,Да,(противоречивые выводы)
53,Повреждение исторического интерьера в подъезде при монтаже оборудования,2,Высокая,2,Высокая,0.80,5,Высокая,Нет,
54,Несанкционированное размещение рекламы на фасаде,1,Низкая,2,Низкая,0.40,3,Низкая,Да,(нерелевантные ссылки)
55,Ущерб из-за некорректной работы системы вентиляции после капремонта,2,Средняя,2,Средняя,0.65,4,Средняя,Нет,
56,Травма жильца из-за нарушения правил уборки территории,2,Высокая,2,Высокая,0.80,5,Высокая,Нет,
57,Утрата доступа к законно установленному кондиционеру,2,Средняя,2,Средняя,0.60,4,Средняя,Нет,
58,Порча имущества при «контрольном обходе» без присутствия собственника,1,Низкая,2,Низкая,0.45,3,Низкая,Да,(галлюцинации по законодательству)
59,Эмоциональный ущерб и затраты из-за системной некомпетентности,1,Низкая,2,Низкая,0.40,3,Низкая,Да,(нерелевантные нормы)
60,"Ущерб, причиненный привлеченным УК подрядчиком",2,Высокая,2,Высокая,0.75,5,Высокая,Нет,
61,Незаконное начисление долга,1,Низкая,2,Низкая,0.40,3,Низкая,Да,(ошибки в законодательстве)
62,Нецелевое использование средств,2,Средняя,2,Средняя,0.65,4,Средняя,Нет,
63,Ущерб из-за отключения услуги за долг,1,Низкая,2,Низкая,0.45,3,Низкая,Да,(некорректные ссылки)
64,Неправильный расчет пени,2,Высокая,2,Высокая,0.85,5,Высокая,Нет,
65,Утрата платежа,2,Высокая,2,Средняя,0.70,5,Высокая,Нет,
66,Затопление из-за прорыва общедомовой системы,2,Высокая,2,Высокая,0.80,6,Высокая,Нет,
67,"Порча имущества при ""уборке"" чердака",2,Средняя,2,Низкая,0.50,4,Средняя,Нет,
68,Ущерб от падения сосульки/элемента фасада,2,Высокая,2,Средняя,0.65,5,Высокая,Нет,
69,Кража из почтового ящика/подъезда из-за неисправности дверей,2,Высокая,2,Средняя,0.70,5,Высокая,Нет,
70,Травма в подъезде из-за аварийного состояния,1,Низкая,2,Низкая,0.40,4,Низкая,Нет,
71,Ущерб от пожара из-за неисправной электропроводки МОП,2,Высокая,2,Средняя,0.65,5,Высокая,Нет,
72,Несанкционированное размещение рекламы на фасаде,2,Высокая,2,Высокая,0.80,5,Высокая,Нет,
73,Порча автомобиля во время уборки территории,2,Средняя,2,Низкая,0.45,4,Средняя,Нет,
74,Нарушение тишины из-за ночных работ по благоустройству,2,Средняя,2,Средняя,0.60,4,Средняя,Нет,
75,Утрата/повреждение имущества при отключении воды (залив соседей),2,Высокая,2,Средняя,0.70,5,Высокая,Нет,
76,Разглашение персональных данных,2,Высокая,2,Высокая,0.80,5,Высокая,Нет,
77,Отказ в предоставлении информации,2,Средняя,2,Средняя,0.60,4,Средняя,Нет,
78,Утрата документов,2,Высокая,2,Высокая,0.80,5,Высокая,Нет,
79,Введение в заблуждение,2,Средняя,2,Низкая,0.50,4,Средняя,Нет,
80,Невыдача документов при продаже,2,Средняя,2,Средняя,0.60,4,Средняя,Нет,
81,Затопление квартиры из-за протечки крыши,2,Высокая,2,Высокая,0.85,5,Высокая,Нет,
82,Травма в подъезде из-за ненадлежащего содержания,2,Высокая,2,Средняя,0.70,5,Высокая,Нет,
83,Порча имущества из-за аварии на общедомовых сетях,2,Высокая,2,Высокая,0.80,5,Высокая,Нет,
84,Нарушение температурного режима,2,Высокая,2,Высокая,0.85,5,Высокая,Нет,
85,Занижение площади для начисления платы,1,Средняя,2,Средняя,0.65,4,Средняя,Нет,
86,Несанкционированное отключение электроснабжения,1,Низкая,2,Низкая,0.45,3,Низкая,Нет,
87,Разрушение фасада и падение элементов,2,Средняя,2,Средняя,0.60,3,Средняя,Нет,
88,Хроническое засорение канализации из-за отсутствия профилактики,1,Низкая,2,Низкая,0.50,3,Низкая,Нет,
89,Пожар из-за неисправности общедомовой электропроводки,2,Средняя,2,Высокая,0.80,4,Высокая,Нет,
90,Невыполнение решения общего собрания,2,Средняя,2,Средняя,0.70,4,Средняя,Нет,
91,Захват мест общего пользования,2,Высокая,2,Высокая,0.75,5,Высокая,Нет,
92,Антисанитария у соседей,2,Средняя,2,Средняя,0.70,4,Средняя,Нет,
93,Шум от коммерческой деятельности,2,Низкая,2,Низкая,0.55,3,Низкая,Нет,
94,Повреждение имущества жильцами при ремонте,2,Средняя,2,Средняя,0.65,4,Средняя,Нет,
95,Незаконная переустройство чердака/подвала,2,Средняя,2,Средняя,0.60,3,Средняя,Нет,
96,Самозахват земельного участка и установка ограждения,2,Низкая,2,Низкая,0.50,3,Низкая,Нет,
97,Систематическое нарушение парковки и порча газона,1,Низкая,2,Низкая,0.40,3,Низкая,Нет,
98,Разведение животных в коммерческих целях,2,Низкая,2,Низкая,0.50,3,Низкая,Нет,
99,Незаконная сдача квартиры в аренду как хостел,2,Средняя,2,Средняя,0.65,4,Средняя,Нет,
100,Размещение рекламных конструкций без согласия собственников,2,Средняя,2,Средняя,0.60,3,Средняя,Нет,
101,Ремонт крыши с привлечением «шабашников»,2,Высокая,2,Высокая,0.80,5,Высокая,Нет,
102,Курение в подъезде и на лестничных площадках,2,Низкая,2,Низкая,0.45,3,Низкая,Нет,
103,Незаконная постройка на крыше (мансарда),2,Средняя,2,Средняя,0.70,4,Средняя,Нет,
104,Затопление помещений общего пользования из-за действий жильца,2,Высокая,2,Высокая,0.90,6,Высокая,Нет,
105,Создание коммунальной аварии из-за неправильного пользования системами,2,Высокая,2,Высокая,0.85,6,Высокая,Нет,
106,Отказ в страховом случае,2,Средняя,2,Средняя,0.70,5,Средняя,Нет,
107,Некачественный ремонт по гарантии,2,Высокая,2,Высокая,0.88,6,Высокая,Нет,
108,Повреждение имущества подрядчиками УК,2,Высокая,2,Высокая,0.87,6,Высокая,Нет,
109,Скрытые дефекты после капитального ремонта,1,Низкая,2,Низкая,0.50,4,Низкая,Да,(ошибка релевантности)
110,Отсутствие договора страхования общего имущества,2,Высокая,2,Высокая,0.86,6,Высокая,Нет,
111,Истечение срока гарантии на скрытые дефекты,2,Средняя,2,Средняя,0.75,5,Средняя,Нет,
112,Субподряд и ответственность,2,Высокая,2,Высокая,0.82,6,Высокая,Нет,
113,Отказ в выплате по франшизе,2,Высокая,2,Высокая,0.80,6,Высокая,Нет,
114,Повреждение общего имущества при ремонте в квартире,2,Высокая,2,Высокая,0.85,6,Высокая,Нет,
115,Незаконное привлечение подрядчиков без лицензии,2,Высокая,2,Высокая,0.84,6,Высокая,Нет,
116,Гарантия на проектные работы,2,Средняя,2,Средняя,0.70,5,Средняя,Нет,
117,Ответственность за простой и упущенную выгоду,1,Низкая,2,Низкая,0.55,4,Низкая,Да,(ошибка релевантности)
118,Конфликт страховых оценок,2,Низкая,2,Низкая,0.60,4,Средняя,Нет,
119,Невыполнение гарантийных обязательств в срок,1,Низкая,2,Низкая,0.50,4,Низкая,Да,(серьезная ошибка релевантности)
120,Солидарная ответственность УК и подрядчика,2,Средняя,2,Средняя,0.72,5,Средняя,Нет,
121,Плесень и грибок из-за сырости в подвале,1,Низкая,2,Низкая,0.45,4,Низкая,Да,(серьезная ошибка релевантности)
122,Выбросы от котельной,1,Низкая,2,Низкая,0.40,4,Низкая,Да,(ошибка релевантности)
123,Некачественная уборка и распространение инфекции,1,Низкая,2,Низкая,0.50,4,Низкая,Да,(серьезная ошибка релевантности)
124,Шум и вибрация от инженерного оборудования (продолжение),1,Средняя,2,Низкая,0.30,4,Низкая,Нет,
125,Загрязнение территории стройматериалами,2,Высокая,2,Средняя,0.60,5,Высокая,Нет,
126,Отравление угарным газом из-за неисправной вентиляции,2,Высокая,2,Средняя,0.70,5,Высокая,Нет,
127,Заражение клещом (демодекоз) в общественном душе фитнес-зоны,1,Низкая,2,Низкая,0.40,4,Средняя,Нет,
128,Авария канализационного коллектора на территории двора,1,Средняя,2,Низкая,0.50,4,Низкая,Нет,
129,Неконтролируемое распространение борщевика Сосновского,1,Низкая,2,Низкая,0.40,4,Средняя,Нет,
130,Повышенный радиационный фон из-за неучтенных строительных материалов,0,Низкая,2,Низкая,0.20,3,Низкая,Нет,
131,Насекомые-вредители (клопы/тараканы) из-за антисанитарии в подвале,1,Средняя,2,Низкая,0.50,4,Средняя,Нет,
132,Химическое загрязнение воздуха от неправильного хранения реагентов,1,Средняя,2,Низкая,0.30,4,Низкая,Нет,
133,Свинцовое загрязнение от старой краски при ремонте фасада,1,Низкая,2,Низкая,0.40,4,Средняя,Нет,
134,Систематическое превышение уровня электромагнитного излучения,1,Низкая,2,Низкая,0.30,4,Низкая,Нет,
135,Заболевания дыхательных путей из-за пыли от сухой уборки подъездов,2,Высокая,2,Средняя,0.60,4,Высокая,Есть,(ошибки в судебной практике)
